operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.250,5.503,6.630,1.717,0.028,82.980,222895
read,0.218,5.363,6.481,1.504,0.011,83.718,297469
update,0.251,5.504,6.642,1.728,0.029,83.746,149173
delete,0.217,5.367,6.477,1.503,0.011,83.798,74280
