operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.248,5.512,6.701,1.721,0.030,81.770,223090
read,0.218,5.372,6.557,1.507,0.012,82.531,297799
update,0.248,5.515,6.696,1.714,0.030,81.482,148306
delete,0.219,5.386,6.542,1.516,0.012,57.184,74323
