operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,0.250,5.506,6.652,1.722,0.028,81.277,149300
delete,0.218,5.380,6.517,1.512,0.012,80.589,74361
create,0.249,5.495,6.642,1.710,0.027,80.721,224240
read,0.217,5.359,6.499,1.498,0.009,81.287,298164
