operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.250,5.500,6.628,1.719,0.026,81.364,222875
read,0.216,5.364,6.484,1.498,0.011,80.513,298937
update,0.250,5.496,6.638,1.719,0.029,81.946,149386
delete,0.217,5.371,6.522,1.501,0.011,81.148,74469
