operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,174.911,726.010,880.764,243.023,2.391,1014.558,356
read,126.630,494.525,819.092,177.114,0.950,1171.297,449
update,191.297,626.650,951.861,231.397,0.238,1039.470,218
delete,140.017,629.576,816.511,201.641,3.971,833.188,115
