operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,0.218,5.377,6.530,1.514,0.012,17.700,74929
create,0.252,5.515,6.666,1.720,0.026,81.126,223399
read,0.217,5.371,6.495,1.504,0.011,80.923,297399
update,0.250,5.495,6.613,1.715,0.029,80.746,148326
