operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,31.862,79.893,108.063,34.599,0.106,184.870,885
delete,18.896,64.321,87.865,23.601,0.052,132.907,454
create,27.551,72.611,102.695,30.211,0.077,180.020,1363
read,15.901,60.066,92.214,20.816,0.029,156.843,1798
