operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.252,5.493,6.625,1.720,0.029,82.512,222253
read,0.217,5.374,6.499,1.506,0.011,81.904,298231
update,0.249,5.505,6.697,1.716,0.029,82.365,148697
delete,0.219,5.379,6.512,1.511,0.010,81.493,74753
