operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,65.341,214.538,299.113,83.848,0.093,441.280,1201
read,27.311,136.681,199.104,43.281,0.052,366.837,1606
update,51.445,204.613,296.482,67.254,0.151,465.672,805
delete,29.517,136.541,206.717,44.027,0.091,297.074,354
