operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,159.899,345.922,424.607,150.324,0.037,630.674,6635
read,137.435,307.963,390.157,122.556,0.021,630.574,8683
update,160.488,350.850,423.292,152.136,0.040,666.730,4298
delete,140.814,328.088,413.493,131.470,0.032,556.534,2164
