operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
read,0.217,5.384,6.528,1.505,0.011,82.994,298784
update,0.247,5.502,6.656,1.714,0.029,82.520,149494
delete,0.217,5.378,6.486,1.502,0.011,82.179,74493
create,0.249,5.508,6.636,1.716,0.028,82.704,222412
