operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,0.216,5.365,6.492,1.497,0.011,82.471,74685
create,0.250,5.514,6.657,1.718,0.029,83.341,223267
read,0.220,5.373,6.520,1.509,0.011,82.404,296655
update,0.251,5.514,6.679,1.722,0.026,81.982,148917
