operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,19.817,54.862,76.046,22.090,0.069,184.592,1887
read,8.738,38.881,59.339,13.310,0.026,94.204,2549
update,27.979,61.947,86.153,28.569,0.073,116.797,1216
delete,12.386,38.179,56.244,15.671,0.051,99.912,613
