operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,43.969,111.811,154.087,51.477,0.096,258.585,900
read,23.818,93.367,147.736,32.109,0.030,202.356,1225
update,28.067,108.547,170.085,39.137,0.081,236.628,629
delete,23.968,85.233,142.222,30.390,0.036,177.066,314
