operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,60.462,219.053,337.149,79.744,0.168,484.595,617
delete,33.727,180.141,265.107,55.315,0.087,406.670,332
create,79.678,259.477,362.758,100.421,0.185,585.494,1025
read,33.107,188.333,262.419,55.403,0.084,458.040,1251
