operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,85.856,142.711,178.854,80.527,0.040,268.877,8988
read,81.225,135.545,169.523,75.392,0.015,270.030,12225
update,94.344,149.925,184.248,88.314,0.052,332.156,5887
delete,83.394,138.227,162.865,77.472,0.027,228.118,3027
