operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,0.249,5.506,6.643,1.715,0.030,82.428,149619
delete,0.218,5.354,6.527,1.495,0.013,43.763,74792
create,0.250,5.491,6.645,1.715,0.027,81.094,223055
read,0.219,5.365,6.511,1.506,0.010,82.456,297752
