operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
read,15.832,66.660,107.529,21.794,0.037,195.098,1779
update,28.008,75.452,114.110,32.546,0.098,225.568,865
delete,19.977,60.027,96.641,23.487,0.066,118.187,451
create,27.891,78.794,111.634,32.110,0.054,212.801,1322
