operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,28.059,101.325,135.625,35.980,0.050,204.155,287
create,44.967,132.040,177.921,54.661,0.144,345.035,879
read,22.344,102.909,144.478,32.877,0.047,229.844,1183
update,28.045,119.814,183.232,40.503,0.070,260.067,561
