operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,1.188,36.387,51.807,10.680,0.027,109.495,11021
read,0.268,6.676,14.602,1.355,0.016,56.090,14422
update,20.378,43.314,64.923,18.824,0.032,180.742,7417
delete,0.352,26.149,38.682,6.341,0.016,97.981,3644
