operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,0.325,25.431,41.586,5.974,0.015,74.410,3715
create,1.020,36.066,52.132,10.700,0.028,111.868,10965
read,0.271,6.803,13.730,1.378,0.013,82.447,14508
update,21.070,42.972,61.547,18.929,0.034,133.951,7419
