operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,27.580,71.890,107.421,29.625,0.073,158.068,1409
read,12.617,57.059,94.777,19.145,0.050,152.673,1921
update,28.938,73.871,103.708,32.495,0.089,220.474,943
delete,16.095,59.961,94.933,20.892,0.056,151.820,518
