operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,0.251,5.492,6.642,1.719,0.029,77.141,148624
delete,0.219,5.389,6.511,1.515,0.011,81.857,74827
create,0.250,5.503,6.653,1.719,0.027,82.723,223123
read,0.218,5.378,6.519,1.507,0.011,82.227,296720
