operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,15.374,46.300,71.417,17.428,0.038,104.010,545
create,20.032,60.161,85.018,24.215,0.039,160.828,1698
read,11.595,43.980,74.216,14.933,0.029,153.403,2322
update,28.028,67.940,89.066,30.431,0.072,125.564,1140
