operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,58.126,213.907,296.487,76.696,0.105,442.428,1187
read,31.805,148.162,199.314,47.599,0.072,406.992,1513
update,57.624,203.818,320.637,75.496,0.182,528.886,790
delete,36.510,158.788,200.587,48.527,0.105,265.804,354
