operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,106.521,350.995,523.148,137.341,0.280,832.591,705
read,53.208,257.257,387.358,82.349,0.064,599.762,905
update,81.376,301.423,495.517,109.617,0.291,659.451,443
delete,53.648,254.915,355.644,82.897,0.300,423.192,238
