operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,32.018,89.968,135.749,37.775,0.062,234.334,1092
read,19.572,80.871,122.415,27.184,0.034,239.205,1445
update,35.541,97.762,134.965,40.760,0.102,175.602,703
delete,23.957,76.160,123.223,29.272,0.056,195.859,369
