database,initial_mb,final_mb,growth_mb,growth_rate_kbps
db2,82.20,91.46,9.26,31.60
db3,82.55,91.97,9.41,32.13
d5,8.76,18.31,9.56,32.61
d6,8.79,18.35,9.56,32.63
d7,8.82,18.38,9.57,32.65
db1,82.58,92.01,9.42,32.17
