operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,165.417,543.285,805.194,216.371,4.151,943.618,88
create,219.279,859.292,1268.593,303.414,11.629,1743.027,282
read,148.759,594.259,819.487,211.373,0.203,1258.801,395
update,179.360,850.737,1154.374,270.629,0.181,1435.882,189
