operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
read,54.211,255.274,371.288,80.626,0.226,569.041,969
update,94.094,311.547,449.689,122.267,0.151,684.470,479
delete,52.208,206.921,302.294,76.040,0.142,339.999,265
create,88.007,324.836,438.679,115.571,0.195,659.523,719
