operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.355,34.814,47.574,7.686,0.033,102.729,11362
read,0.297,6.136,12.629,1.350,0.014,54.540,15158
update,23.803,44.065,64.183,21.980,0.037,145.343,7480
delete,0.471,28.451,42.361,7.337,0.016,84.046,3782
