operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,48.164,144.935,196.863,59.866,0.100,294.038,748
read,28.301,126.180,196.314,41.905,0.043,283.905,1026
update,31.966,121.244,192.647,44.062,0.110,260.077,518
delete,28.050,117.507,200.972,42.485,0.085,382.232,221
