operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,53.200,185.144,276.488,69.210,0.224,409.006,1506
read,20.492,115.347,184.335,34.293,0.067,408.320,1956
update,40.712,150.675,240.305,53.490,0.073,407.973,984
delete,20.555,112.592,178.967,34.491,0.095,305.042,460
