operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,85.239,310.391,438.526,109.995,0.079,569.699,695
read,62.922,281.463,452.836,91.884,0.358,626.421,937
update,80.005,384.507,595.160,123.795,0.196,1054.464,461
delete,63.096,284.300,352.725,90.452,0.121,488.475,221
