operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
update,0.250,5.506,6.663,1.719,0.028,80.957,148699
delete,0.218,5.346,6.508,1.501,0.011,79.869,74585
create,0.248,5.492,6.659,1.713,0.028,81.051,224206
read,0.217,5.365,6.490,1.499,0.011,80.400,298809
