operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,137.102,509.690,831.731,186.797,0.511,1020.321,511
read,70.276,350.506,612.480,111.661,0.103,947.104,656
update,107.937,459.976,670.217,150.122,1.363,1024.673,321
delete,92.940,310.374,452.702,122.524,0.768,673.280,186
