operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
delete,20.126,72.884,112.457,26.599,0.060,152.686,398
create,30.986,88.040,128.258,35.353,0.076,295.945,1119
read,17.156,78.238,127.180,25.733,0.048,220.480,1533
update,32.924,101.076,133.654,39.986,0.074,186.261,759
