operation,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,count
create,0.249,5.504,6.655,1.711,0.027,82.552,223829
read,0.217,5.362,6.504,1.503,0.011,83.162,299045
update,0.248,5.498,6.658,1.718,0.027,82.650,148562
delete,0.216,5.379,6.564,1.499,0.012,24.952,74733
